From Date,Unnamed: 0,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Toluene,Eth-Benzene,MP-Xylene,RH,WS,WD,SR,BP,AT,TOT-RF,AQI
2022-04-25,46031.5,43.34842696629214,137.81887096774193,50.14038461538461,25.481410256410257,75.62192307692308,22.751923076923077,9.985789473684212,0.37943396226415094,40.612115384615386,1.4104938271604939,,1.8922222222222222,5.126296296296297,50.994,1.9431428571428573,228.91071428571428,364.56904761904764,,31.535714285714285,0.0,99.17229166666665
2022-04-26,46127.5,30.64222222222222,89.30545454545455,64.49928571428572,18.879285714285714,83.38214285714285,20.935,10.385384615384615,0.3076923076923077,39.91153846153846,1.7421428571428572,,1.8678571428571427,3.8407142857142853,75.95285714285714,1.3171428571428572,279.83,,,27.590714285714284,0.0,11.506354166666666
2022-04-27,46223.5,24.153,107.19218390804598,58.2494623655914,20.659354838709678,78.90763440860215,21.447204301075267,10.477419354838709,0.2872826086956522,40.10217391304348,1.1127956989247312,,1.7341935483870967,3.9068817204301074,57.33397849462366,1.7945161290322582,244.60784946236558,346.20680851063827,,30.553655913978492,0.0,93.97781249999998
2022-04-28,46319.5,38.03340425531915,132.62989130434784,73.75904255319149,20.482659574468084,94.24372340425532,20.18308510638298,10.233586956521739,0.3334782608695652,40.00857142857143,1.4364893617021277,,2.593191489361702,3.479468085106383,66.52510638297872,1.3186170212765957,206.5259574468085,320.0982978723404,,29.893617021276597,0.0,117.25145268087856
2022-04-29,46415.5,22.95905263157895,70.93032258064517,66.97851063829786,15.255212765957447,82.23553191489363,18.702446808510636,10.159354838709678,0.11706521739130435,39.9845054945055,1.2283157894736842,,1.5897894736842106,2.4674736842105265,75.7794623655914,1.6118279569892473,214.02247311827958,333.20425531914896,,29.083548387096773,0.0,69.81569444444445
2022-04-30,46511.5,27.501458333333332,86.68688172043011,83.75172043010753,12.643333333333333,96.3958064516129,16.67462365591398,10.148152173913044,0.28445652173913044,39.910222222222224,1.1691397849462366,,2.220752688172043,2.7446236559139785,72.2516129032258,1.1851612903225806,220.3936559139785,349.06020408163266,,28.92430107526882,0.0,85.10447916666666
2022-05-01,35471.5,117.31875,205.86527272727272,37.35166666666667,70.01766666666667,107.37616666666666,28.867166666666666,15.661636363636363,1.2516666666666667,33.25018518518519,4.394918032786885,,6.694426229508197,9.71704918032787,76.07293103448275,1.0391379310344828,177.65120689655174,205.83523809523808,,24.019137931034482,0.0,182.91880341880344
2022-05-02,38447.5,92.4526,301.75888888888886,116.9137037037037,19.212592592592593,136.13611111111112,70.495,32.29796296296296,0.9738888888888889,8.938571428571429,1.774181818181818,,3.0774545454545454,7.869454545454546,57.461851851851854,1.7290740740740742,133.6212962962963,277.96346153846156,,20.621296296296297,0.0,146.19349570164977
2022-05-03,41135.5,76.28273684210527,247.2112087912088,101.22734042553192,94.05925531914893,191.96301075268818,14.512978723404256,13.096813186813186,1.2423076923076923,85.37068181818182,3.5705263157894738,,9.206000000000001,18.002,43.586129032258064,1.472688172043011,169.24440860215054,337.03456521739133,,26.75161290322581,0.0,218.0786882084751
2022-05-04,44111.5,,,,,,,,,,,,,,,,,,,,0.0,0.0
