From Date,PM2.5_filled,PM10_filled,NO_filled,NO2_filled,NOx_filled,NH3_filled,Ozone_filled,Benzene_filled,Eth-Benzene_filled,MP-Xylene_filled,RH_filled,WS_filled
2021-01-03,99.97391810497159,242.88957047849607,65.64469706956076,70.6918661440942,135.8001798942142,21.748246110428365,47.73189874873745,5.853542496802952,9.17118957147534,9.631882065354445,57.71683394108526,1.3897957698451047
2021-01-10,25.65158166956018,117.78854261238376,62.688560087012235,21.830677625868056,83.51728870856067,13.07730724516369,9.28664972247879,1.1068731398809522,3.2885290654246764,5.103295814239537,81.99992420954334,1.6271355904656684
2021-01-17,92.04327360284391,229.04113445028156,38.887884398768186,80.82357016265708,105.98263678333747,21.728395673156417,51.95054475296764,4.280721002810846,7.467292228804821,5.865709435429774,66.2605620049077,1.4926759691408127
2021-01-24,99.18423197751322,262.76715360449737,41.32741340112433,101.8139724392361,142.31105634093916,16.795889085234787,74.96878541811782,6.006570147156085,13.199070612185846,9.711910032242063,58.72799525669642,1.1238813450727512
2021-01-31,106.40883019179894,254.4463486379795,42.34220284598214,95.08540297412367,135.49504898313492,18.02697120949074,49.7905621967962,6.756736162781085,12.131485511739417,6.853020419973545,61.120177434689154,1.2399367042824072
2021-02-07,62.761630549355154,201.1825978112599,39.486633184523804,46.537807074652775,85.3532318018353,18.11051292782738,23.736642020089285,3.3351466393849205,5.081221758668745,6.397016627397487,67.33872783358134,1.3844859871031745
2021-02-14,50.29073409253748,137.47603153935182,60.93144123057209,49.431379071593916,96.84464714575066,23.330964626736108,33.074097532242064,2.4020636470734127,6.050738548457577,8.779237041170635,77.96029420882935,1.6427905919312167
2021-02-21,47.53936389440035,153.1918596884645,15.72893768256724,59.749026675485005,75.47963708732914,21.807480175953483,44.99732122189153,3.0975492414847885,4.464966961611033,6.698443218143739,63.00153132578262,1.7332641472387564
2021-02-28,67.09488651207009,199.86856708920013,37.2274959171656,83.0436103560043,117.17184077181524,19.474699467491064,51.019509548611104,4.799781096077868,8.793674822428057,12.118790812027173,52.0416159303786,1.4520652189283973
2021-03-07,57.35695343501983,204.07841281806947,39.49125618407999,52.69081033747563,91.85529473096804,16.619545461962197,30.27450148809524,3.665699279666179,6.556815737259815,5.019289614008981,65.78004078120648,1.3666783223249095
2021-03-14,55.28383918237434,168.4671009930525,47.88008194857804,48.94065651868385,84.99991768973214,16.61499870825066,21.501944754464283,2.302209718088624,7.2093225712936855,7.929444521949405,71.84191587094908,1.5305293588789683
2021-03-21,61.244662181712954,247.5882727875361,43.821152705439815,69.0212818287037,106.43820498511903,18.879857287533067,31.855578807043646,3.1763847036210318,7.26871414103836,7.84424992249504,55.74002319981812,1.4625513599537037
2021-03-28,71.1252255911045,227.14195493344909,32.460637710813494,70.71108889302248,102.04947761656744,19.86546265294312,67.3060349495701,4.80007316468254,7.604238886526833,11.857000413359788,44.267329592427245,1.5113676525297617
2021-04-04,60.2343187340622,193.90785843460648,38.18320576016865,51.35879794973545,89.48713293650793,25.686072875330687,27.60989407655423,3.8106921192956342,7.523793375079164,7.483282232794856,66.2931552786045,1.3714220610119046
2021-04-11,36.29998733819308,107.10325608672288,38.493951435391864,29.949733150421626,59.43217912946428,15.056145885003307,11.194704163566467,1.0415020719659391,9.972943319164505,6.335215023529547,74.70022145750661,1.7188079737103175
2021-04-18,36.21990482390873,137.41616810309193,21.39967434999173,43.42089200458829,64.3779730386078,17.556195694857802,15.187436730117394,1.6004775597304894,2.506046730324074,4.002374106109458,73.56903842179233,1.4702409370866403
2021-04-25,21.726740348048942,108.79352389219576,15.252547794725528,32.52275772982804,47.76765754174934,12.758796037946427,12.719230220734127,1.2935563409391533,1.9932129303711332,2.6405301339285714,71.79055746734457,1.6162206514550266
2021-05-02,62.964326946924594,203.34607680224866,25.53775964161706,38.237096095816796,63.371181330605154,16.617090773809522,25.977078424685846,2.495034618882275,3.678466343769078,3.5352865026218816,70.59920500578703,1.4473456101190476
2021-05-09,32.95495182121209,127.5172454902712,30.0330269562252,39.616146546378964,69.64076929873511,11.977310980902777,14.191254981593332,2.413960658482143,4.447223507278559,6.440868188421201,75.14389831402201,1.5972223706077873
2021-05-16,47.833786522041876,117.80167406105626,39.45243063306051,32.39660171750992,62.82936500186011,18.257407738095235,11.55151927524482,1.8536249844990078,3.3269489154231606,4.7387285105014225,71.4707320537501,1.8679722554197071
2021-05-23,26.27925417493386,76.33694116709182,16.180132275132273,21.204165850281083,37.36265515459656,16.915646174355157,10.039170549296106,1.5496664961557538,1.888382347470238,2.609679153779567,81.76755108684098,1.9651286729969766
2021-05-30,25.20829246238426,83.71887204447751,24.968478577628968,25.15486674313823,50.02844685226521,15.733978639632934,22.637418981481478,1.0005322523974867,1.8290717580434952,1.9103739872685184,75.50598994502315,1.5673555307539682
2021-06-06,64.5668279286541,173.49970103753307,30.455299530836637,44.55335260623346,74.97318586722884,22.417782738095237,30.15004763971561,3.5262593522652113,4.387270421189309,4.979751829117063,68.78393296337633,1.4489614852017194
2021-06-13,41.5742976500496,89.71831499049271,43.86843088624338,37.44065672536375,71.987222635582,19.033092189566798,13.766781735697752,1.5539532180059523,2.4033335400132274,2.728464936755952,82.39468682829035,1.3233906870039682
2021-06-20,31.77785595444775,80.32256918609457,31.589367249503965,26.113404482886907,57.63506866939484,20.800485439401456,19.45807813533399,1.7577525111607142,2.8826859085648144,2.892093667328042,89.54357111855158,1.6342791521990738
