From Date,PM2.5_filled,PM10_filled,NO_filled,NO2_filled,NOx_filled,NH3_filled,Ozone_filled,Benzene_filled,Eth-Benzene_filled,MP-Xylene_filled,RH_filled,WS_filled
2021-06-19 20:00:00,45.275002021240546,117.2869955803883,39.50121956082018,42.52092300981131,82.01447977386896,14.011396580938385,7.154438657505459,1.1878762589794138,1.6743051555475295,4.0751144328843205,87.41854779491881,1.3266175887015492
2021-06-19 21:00:00,41.054101989482675,112.42472271474335,31.077248461408587,40.80588933195084,72.09263240651305,15.350740987317618,7.892331180048604,1.1174575250385352,1.8264623407046043,3.47186409090682,88.76033573848298,1.1744950998441166
2021-06-19 22:00:00,35.139472662906265,103.0310739067584,24.30480421324526,37.72322704881433,62.36874483912978,16.00706872697898,8.311464077150875,1.2149867110088575,2.093931354398638,3.149948795259077,90.41022259858235,1.1579826513751317
2021-06-19 23:00:00,30.834370076762134,95.64783549195167,20.36966665281717,33.69585415895804,54.19686878847135,15.442673641371691,8.744414586240026,1.6753474183562616,1.8216277089174355,3.3868690677352986,93.0523030422621,1.1236213403151973
2021-06-20 00:00:00,33.49239701001336,97.39446186006921,21.305150433658085,32.98408903235145,53.83507158298221,14.420755696428941,8.025761617537425,1.8045343308310584,1.9856449981830298,3.2692495852997947,95.91337102425987,1.1512608600505811
2021-06-20 01:00:00,37.721696170150565,100.66889482108908,18.797205816939606,29.393003529225147,47.718504692367986,13.376539714186604,6.861485714850946,1.5624540057858738,2.2806673311376513,3.2836206945813564,96.58161737093832,1.357194334713424
2021-06-20 02:00:00,37.00021035457389,83.47630287205496,13.694943519153513,25.403761551477974,39.17015685720229,12.506735122605054,7.157251157505459,1.4835793839794138,2.5884978638808627,2.983577974550987,94.64083946158547,1.607789463701549
2021-06-20 03:00:00,40.04089886448267,79.34088417307667,13.164227628075254,24.35854558195083,37.80570532317971,12.100011820650952,8.174492638381937,1.5624835667052017,1.9610717157046045,2.78670784090682,91.78395553014963,1.7598336415107834
2021-06-20 04:00:00,44.37978516290626,97.54300099009171,19.43423129657859,24.42741975714766,44.233328172463125,12.121469768645643,8.739788729928652,1.2119658776755238,1.7164053127319714,2.852474836925743,89.14151600136013,1.8346753597084646
2021-06-20 05:00:00,49.2399603545399,118.111403200285,26.470960055594947,23.33915711034693,49.95482451763801,12.17115454414947,9.214553475128914,0.5743578350229283,1.4032370839174355,2.6585357344019656,87.054355993651,1.9023713403151972
2021-06-20 06:00:00,50.91408103779114,129.62870665173588,31.551743315602522,23.487131567073668,54.59715491631553,12.631280870040051,8.44887793698187,0.42077130999772505,1.47442624818303,2.551319897799795,86.4021166839821,1.9171853392172475
2021-06-20 07:00:00,54.049196170150566,127.73941565442242,35.12866154610627,24.009977487558487,58.67104375486798,11.693969401686605,7.2686662704065,0.6742534849525404,1.5389355603043178,2.4600009029146896,85.883659037605,1.8694521472134238
2021-06-20 08:00:00,59.28826591012944,131.87708759427719,33.35500254693129,23.575511551477973,57.000530121091174,10.468606650382831,7.451320601949903,0.7414196617571915,1.3071306763808628,2.46577849538432,83.9457335588077,1.8664387692571047
2021-06-20 09:00:00,56.55708810059378,127.12347618696556,32.30010436418636,25.320073359728607,57.89850914262416,9.10443022342873,8.310412777270825,0.5978741917052016,0.8432071323712712,2.4288085353512643,81.20821768292741,1.9848596831774499
2021-06-20 10:00:00,53.068717454572926,123.12083953175839,34.71001254657859,26.12163850714766,61.22007296412979,8.037290081145644,8.855392028539764,0.46941379434219055,0.5643957641208603,2.5434904619257432,79.03938492497123,2.0887248388751316
2021-06-20 11:00:00,55.59156625731769,122.656325075285,37.03707116670606,26.096353290902485,63.297819309304685,7.067513051093915,9.356762676517803,0.5925609600229284,0.8116146880841024,3.3309055260686318,78.06315373670654,2.110665611148531
2021-06-20 12:00:00,58.52331714890225,133.62722227673586,41.4488960933803,29.30125483096256,70.31699866631553,7.668407606151163,8.578313700870757,0.779052559997725,2.843197081516363,5.753090731133128,77.50577119787098,2.2162478392172478
